date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:31:30	4279/4279	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Sep%202016%2017:11:17%20GMT	http://themestarz.net/html/propper/assets/img/logo-3.png	C:/My%20Web%20Sites/wee/themestarz.net/html/propper/assets/img/logo-3.png	(from http://themestarz.net/html/propper/index-v1.html)
10:31:31	4256/4256	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Sep%202016%2017:11:18%20GMT	http://themestarz.net/html/propper/assets/img/logo-4.png	C:/My%20Web%20Sites/wee/themestarz.net/html/propper/assets/img/logo-4.png	(from http://themestarz.net/html/propper/index-v1.html)
10:31:31	3828/3828	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Sep%202016%2017:11:20%20GMT	http://themestarz.net/html/propper/assets/img/logo-5.png	C:/My%20Web%20Sites/wee/themestarz.net/html/propper/assets/img/logo-5.png	(from http://themestarz.net/html/propper/index-v1.html)
10:31:31	4084/4084	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Sep%202016%2017:11:21%20GMT	http://themestarz.net/html/propper/assets/img/logo-6.png	C:/My%20Web%20Sites/wee/themestarz.net/html/propper/assets/img/logo-6.png	(from http://themestarz.net/html/propper/index-v1.html)
10:31:32	591175/591175	---M--	200	added ('OK')	image/jpeg	date:Thu,%2001%20Sep%202016%2017:11:03%20GMT	http://themestarz.net/html/propper/assets/img/gallery-big-04.jpg	C:/My%20Web%20Sites/wee/themestarz.net/html/propper/assets/img/gallery-big-04.jpg	(from http://themestarz.net/html/propper/index-v1.html)
10:31:32	4020/4020	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Sep%202016%2017:11:23%20GMT	http://themestarz.net/html/propper/assets/img/logo-7.png	C:/My%20Web%20Sites/wee/themestarz.net/html/propper/assets/img/logo-7.png	(from http://themestarz.net/html/propper/index-v1.html)
10:31:32	4484/4484	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Sep%202016%2017:11:25%20GMT	http://themestarz.net/html/propper/assets/img/logo-8.png	C:/My%20Web%20Sites/wee/themestarz.net/html/propper/assets/img/logo-8.png	(from http://themestarz.net/html/propper/index-v1.html)
10:31:40	44497/44497	---M--	200	added ('OK')	image/jpeg	date:Thu,%2001%20Sep%202016%2017:10:11%20GMT	http://themestarz.net/html/propper/assets/img/floor-plan.jpg	C:/My%20Web%20Sites/wee/themestarz.net/html/propper/assets/img/floor-plan.jpg	(from http://themestarz.net/html/propper/index-v1.html)
10:31:42	7199/7199	---M--	200	added ('OK')	application/javascript	date:Thu,%2001%20Sep%202016%2017:12:34%20GMT	http://themestarz.net/html/propper/assets/js/jquery-migrate-1.2.1.min.js	C:/My%20Web%20Sites/wee/themestarz.net/html/propper/assets/js/jquery-migrate-1.2.1.min.js	(from http://themestarz.net/html/propper/index-v1.html)
10:31:47	85630/85630	---M--	200	added ('OK')	application/javascript	date:Thu,%2001%20Sep%202016%2017:12:33%20GMT	http://themestarz.net/html/propper/assets/js/jquery-2.2.1.min.js	C:/My%20Web%20Sites/wee/themestarz.net/html/propper/assets/js/jquery-2.2.1.min.js	(from http://themestarz.net/html/propper/index-v1.html)
10:31:48	36868/36868	---M--	200	added ('OK')	application/javascript	date:Thu,%2001%20Sep%202016%2017:09:07%20GMT	http://themestarz.net/html/propper/assets/bootstrap/js/bootstrap.min.js	C:/My%20Web%20Sites/wee/themestarz.net/html/propper/assets/bootstrap/js/bootstrap.min.js	(from http://themestarz.net/html/propper/index-v1.html)
10:31:51	21068/21068	---M--	200	added ('OK')	application/javascript	date:Thu,%2001%20Sep%202016%2017:12:40%20GMT	http://themestarz.net/html/propper/assets/js/jquery.validate.min.js	C:/My%20Web%20Sites/wee/themestarz.net/html/propper/assets/js/jquery.validate.min.js	(from http://themestarz.net/html/propper/index-v1.html)
10:31:51	126971/126971	---M--	200	added ('OK')	image/jpeg	date:Thu,%2001%20Sep%202016%2017:10:14%20GMT	http://themestarz.net/html/propper/assets/img/footer-bg.jpg	C:/My%20Web%20Sites/wee/themestarz.net/html/propper/assets/img/footer-bg.jpg	(from http://themestarz.net/html/propper/index-v1.html)
10:31:51	315587/315587	---M--	200	added ('OK')	image/jpeg	date:Thu,%2001%20Sep%202016%2017:10:52%20GMT	http://themestarz.net/html/propper/assets/img/gallery-big-03.jpg	C:/My%20Web%20Sites/wee/themestarz.net/html/propper/assets/img/gallery-big-03.jpg	(from http://themestarz.net/html/propper/index-v1.html)
10:31:53	4158/4158	---M--	200	added ('OK')	application/javascript	date:Thu,%2001%20Sep%202016%2017:12:44%20GMT	http://themestarz.net/html/propper/assets/js/scrollReveal.min.js	C:/My%20Web%20Sites/wee/themestarz.net/html/propper/assets/js/scrollReveal.min.js	(from http://themestarz.net/html/propper/index-v1.html)
